year,company,facility,city,province,naics,amount
2020,Spectra Energy Transmission,CS6B - 93 Mile House,100 MILE HOUSE,British Columbia,486210,96.579
2021,Westcoast Energy Inc.,CS6B - 93 Mile House,100 Mile House,British Columbia,486210,103.713786
2020,Spectra Energy Transmission,CS7 - Savona,SAVONA,British Columbia,486210,37.079
2021,Westcoast Energy Inc.,CS7 - Savona,Savona,British Columbia,486210,54.099099
2020,Spectra Energy Transmission,CS8A - Kingsvale,SAVONA,British Columbia,486210,88.261
2021,Westcoast Energy Inc.,CS8A - Kingsvale,Savona,British Columbia,486210,106.484905
2020,Spectra Energy Transmission,CS9 - Rosedale,ROSEDALE,British Columbia,486210,71.604
2021,Westcoast Energy Inc.,CS9 - Rosedale,Rosedale,British Columbia,486210,105.752322
2020,Spectra Energy Transmission,CSA1 - Gordondale,GORDONDALE,Alberta,486210,26.032
2021,Westcoast Energy Inc.,CSA1 - Gordondale,Gordondale,Alberta,486210,29.280762
2020,Spectra Energy Transmission,CSN4 - Cypress,FORT ST. JOHN,British Columbia,486210,217.449
2021,Westcoast Energy Inc.,CSN4 - Cypress,Fort St. John,British Columbia,486210,133.110284
2021,Otter Farm & Home Co-Operative,Otter Coop,Aldergrove,British Columbia,311119,0.267
2020,Aitken Creek Gas Storage ULC,Aitken Creek Gas Storage_LFO,FORT ST JOHN,British Columbia,211110,189.186
2021,Aitken Creek Gas Storage ULC,Aitken Creek Gas Storage_LFO,Fort St John,British Columbia,211110,165.552
2020,Canadian Forest Products Ltd,Radium,RADIUM HOTSPRINGS,British Columbia,321111,30.3106
2021,Canadian Forest Products Ltd,Radium,Radium Hotsprings,British Columbia,321111,37.3958
2020,Tolko Industries Ltd.,Lakeview - Williams Lake,WILLIAMS LAKE,British Columbia,321111,49.6701
2021,Tolko Industries Ltd.,Lakeview - Williams Lake,Williams Lake,British Columbia,321111,63.6044
2020,Viterra Inc.,Cascadia Terminal Facility Viterra,VANCOUVER,British Columbia,115110,0.49
2021,Viterra Inc.,Cascadia Terminal Facility Viterra,Vancouver,British Columbia,115110,0.72
2020,Haida Forest Products Ltd.,Haida Forest Products Ltd.,BURNABY,British Columbia,321999,0.3016
2020,West Fraser Mills Ltd.,"Alberta Plywood, a division of West Fraser Mills Ltd.",EDMONTON,Alberta,321212,22.8869
2021,West Fraser Mills Ltd.,"Alberta Plywood, a division of West Fraser Mills Ltd.",Edmonton,Alberta,321212,24.6467
2020,British Columbia Hydro and Power Authority,Masset Diesel Generating Station,MASSET,British Columbia,221112,367.051
2021,British Columbia Hydro and Power Authority,Masset Diesel Generating Station,Masset,British Columbia,221112,379.835
2020,British Columbia Hydro and Power Authority,Anahim Lake Diesel Generating Station,ANAHIM LAKE,British Columbia,221122,84.506
2021,British Columbia Hydro and Power Authority,Anahim Lake Diesel Generating Station,Anahim Lake,British Columbia,221122,88.199
2020,British Columbia Hydro and Power Authority,Ah-Sin-Heek Diesel Generating Station,BELLA COOLA,British Columbia,221122,128.24
2021,British Columbia Hydro and Power Authority,Ah-Sin-Heek Diesel Generating Station,Bella Coola,British Columbia,221122,157.398
2020,British Columbia Hydro and Power Authority,Eddontenajon Diesel Generating Station,ISKUT,British Columbia,221122,0.718
2021,British Columbia Hydro and Power Authority,Eddontenajon Diesel Generating Station,Iskut,British Columbia,221122,0.996
2020,British Columbia Hydro and Power Authority,Telegraph Creek Diesel Generating Station,TELEGRAPH CREEK,British Columbia,221122,35.777
2021,British Columbia Hydro and Power Authority,Telegraph Creek Diesel Generating Station,Telegraph Creek,British Columbia,221122,38.666
2020,British Columbia Hydro and Power Authority,Sandspit Diesel Generating Station,SANDSPIT,British Columbia,221122,108.851
2021,British Columbia Hydro and Power Authority,Sandspit Diesel Generating Station,Sandspit,British Columbia,221122,63.344
2020,CREATIVE ENERGY VANCOUVER PLATFORMS CORP,CEVPC 720 Beatty Street,VANCOUVER,British Columbia,221330,190.1
2021,CREATIVE ENERGY VANCOUVER PLATFORMS CORP,CEVPC 720 Beatty Street,Vancouver,British Columbia,221330,172.3
2020,J.H. Huscroft Ltd.,J. H. Huscroft Ltd.,CRESTON,British Columbia,321111,3.35
2021,J.H. Huscroft Ltd.,J. H. Huscroft Ltd.,Creston,British Columbia,321111,3.34
2020,Lakeland Mills Ltd.,Lakeland Mills Ltd.,PRINCE GEORGE,British Columbia,321111,29.4
2021,Lakeland Mills Ltd.,Lakeland Mills Ltd.,Prince George,British Columbia,321111,29.74
2020,Teck Coal Limited,Elkview Operations,Sparwood,British Columbia,212114,314.269
2021,Teck Coal Limited,Elkview Operations,Sparwood,British Columbia,212114,305.4135
2020,Teck Coal Limited,Line Creek Operations,Sparwood,British Columbia,212114,174.874
2021,Teck Coal Limited,Line Creek Operations,Sparwood,British Columbia,212114,144.3855
2020,Williams Lake Lumber (Div of West Fraser Mills Ltd.),WEST FRASER MILLS - QUESNEL SAWMILL,QUESNEL,British Columbia,321111,137.834
2021,Williams Lake Lumber (Div of West Fraser Mills Ltd.),WEST FRASER MILLS - QUESNEL SAWMILL,Quesnel,British Columbia,321111,145.6002
2020,Tolko Industries Ltd.,Heffley Creek Division,KAMLOOPS,British Columbia,321212,21.964199999999998
2021,Tolko Industries Ltd.,Heffley Creek Division,Kamloops,British Columbia,321212,21.363
2020,FortisBC Energy Inc.,"V1 Compressor Station, Eagle Mountain, Coquitlam",COQUITLAM,British Columbia,486210,22.4
2021,FortisBC Energy Inc.,"V1 Compressor Station, Eagle Mountain, Coquitlam",Coquitlam,British Columbia,486210,22.2
2020,British Columbia Hydro and Power Authority,Fort Nelson Generating Station,FORT NELSON,British Columbia,221112,25.901
2021,British Columbia Hydro and Power Authority,Fort Nelson Generating Station,Fort Nelson,British Columbia,221112,32.631
2020,Canadian Forest Products Ltd,Chetwynd,CHETWYND,British Columbia,321111,33.4687
2021,Canadian Forest Products Ltd,Chetwynd,Chetwynd,British Columbia,321111,25.8231
2020,Canadian Forest Products Ltd,Prince George Sawmill Division,PRINCE GEORGE,British Columbia,321111,67.7294
2021,Canadian Forest Products Ltd,Prince George Sawmill Division,Prince George,British Columbia,321111,56.6357
2020,Windset Farms (Canada) Ltd.,Windset Farms (Canada) Ltd. - Ladner,DELTA,British Columbia,111419,21.62
2021,Windset Farms (Canada) Ltd.,Windset Farms (Canada) Ltd. - Ladner,Delta,British Columbia,111419,22.93
2020,Weyerhaeuser Company Limited,Weyerhaeuser Princeton Sawmill,PRINCETON,British Columbia,321111,14.12
2021,Weyerhaeuser Company Limited,Weyerhaeuser Princeton Sawmill,Princeton,British Columbia,321111,13.59
2020,West Fraser Mills Ltd.,"WEST FRASER LVL, A Division of West Fraser Mills Ltd.",ROCKY MOUNTAIN HOUSE,Alberta,321212,25.63
2021,West Fraser Mills Ltd.,"WEST FRASER LVL, A Division of West Fraser Mills Ltd.",Rocky Mountain House,Alberta,321212,25.3464
2020,West Fraser Mills Ltd.,"Quesnel Plywood, a division of West Fraser Mills Ltd.",Quesnel,British Columbia,321212,49.398
2021,West Fraser Mills Ltd.,"Quesnel Plywood, a division of West Fraser Mills Ltd.",Quesnel,British Columbia,321212,50.559
2020,Williams Lake Lumber (Div of West Fraser Mills Ltd.),"WILLIAMS LAKE PLYWOOD, A Division of West Fraser Mills Ltd.",WILLIAMS LAKE,British Columbia,321212,18.4848
2021,Williams Lake Lumber (Div of West Fraser Mills Ltd.),"WILLIAMS LAKE PLYWOOD, A Division of West Fraser Mills Ltd.",Williams Lake,British Columbia,321212,16.7697
2020,Tolko Industries Ltd.,Armstrong Division,ARMSTRONG,British Columbia,321212,85.0584
2021,Tolko Industries Ltd.,Armstrong Division,Armstrong,British Columbia,321212,73.8494
2020,Coastland Wood Industries Ltd.,"Coastland Wood Industries Ltd., Annacis Division",DELTA,British Columbia,321212,20.98
2021,Coastland Wood Industries Ltd.,"Coastland Wood Industries Ltd., Annacis Division",Delta,British Columbia,321212,14.68
2020,Spectra Energy Transmission,CS8B - Othello,HOPE,British Columbia,486210,31.95
2021,Westcoast Energy Inc.,CS8B - Othello,Hope,British Columbia,486210,31.419335
2020,NorthRiver Midstream Inc.,Booster Station 3 - Kobes Creek,PEACE RIVER DISTRICT,British Columbia,211110,117.4052
2021,NorthRiver Midstream Inc.,Booster Station 3 - Kobes Creek,Peace River District,British Columbia,211110,239.4047
2020,NorthRiver Midstream Inc.,McMahon Cogen Plant,TAYLOR,British Columbia,221112,230.5539
2021,NorthRiver Midstream Inc.,McMahon Cogen Plant,Taylor,British Columbia,221112,243.4681
2020,NorthRiver Midstream Inc.,Booster Station 6 - Bluehills,PEACE RIVER DISTRICT,British Columbia,211110,152.3118
2021,NorthRiver Midstream Inc.,Booster Station 6 - Bluehills,Peace River District,British Columbia,211110,145.7913
2020,NorthRiver Midstream Inc.,Booster Station 11 - Rigel,PEACE RIVER DISTRICT,British Columbia,211110,22.2094
2020,NorthRiver Midstream Inc.,Booster Station 18 - Beg-Jedney,PEACE RIVER DISTRICT,British Columbia,211110,70.6756
2021,NorthRiver Midstream Inc.,Booster Station 18 - Beg-Jedney,Peace River District,British Columbia,211110,31.9087
2020,CertainTeed Gypsum Canada Inc,Vancouver Wallboard Plant,DELTA,British Columbia,327420,22.0
2021,CertainTeed Gypsum Canada Inc,Vancouver Wallboard Plant,Delta,British Columbia,327420,18.23
2020,MODERN CONSTRUCTION (1983),Moncton Crushed Stone,MONCTON,New Brunswick,212314,3.26
2021,MODERN CONSTRUCTION (1983),Moncton Crushed Stone,Moncton,New Brunswick,212314,3.34
2020,MODERN CONSTRUCTION (1983),Acadia Crushed Stone,MEMRAMCOOK,New Brunswick,212314,1.3
2021,MODERN CONSTRUCTION (1983),Acadia Crushed Stone,Memramcook,New Brunswick,212314,1.56
2020,The Shaw Group Ltd.,"Shaw Resources Division, Eastern Embers Plant",HARDWOODLANDS,Nova Scotia,321999,24.93
2021,The Shaw Group Ltd.,"Shaw Resources Division, Eastern Embers Plant",Hardwoodlands,Nova Scotia,321999,23.61
2020,Gold Bond Canada Ltd.,Milford Mine Site,MILFORD STATION,Nova Scotia,212395,1.113
2021,Gold Bond Canada Ltd.,Milford Mine Site,Milford Station,Nova Scotia,212395,7.9
2020,MODERN CONSTRUCTION (1983),Stilesville Asphalt Plant,MONCTON,New Brunswick,324121,1.176
2021,MODERN CONSTRUCTION (1983),Stilesville Asphalt Plant,Moncton,New Brunswick,324121,1.225
2020,Husky Oil Operations Limited,Sea Rose FPSO,ST JOHN'S,Newfoundland and Labrador,211110,2796.382
2021,Husky Oil Operations Limited,Sea Rose FPSO,St John's,Newfoundland and Labrador,211110,2394.26961
2020,Great Northern Timber Resources Inc,Great Northern Timber Resources Inc Pellet Mill,Greenwood,Nova Scotia,321999,44.05
2021,Great Northern Timber Resources Inc,Great Northern Timber Resources Inc Pellet Mill,Greenwood,Nova Scotia,321999,43.846
2020,J.D. Irving Ltd.,Truro Sawmill,TRURO,Nova Scotia,321111,21.6
2021,J.D. Irving Ltd.,Truro Sawmill,Truro,Nova Scotia,321111,20.1
2020,J.D. Irving Ltd.,Kedgwick Sawmill,KEDGWICK,New Brunswick,321111,32.9
2021,J.D. Irving Ltd.,Kedgwick Sawmill,Kedgwick,New Brunswick,321111,36.4
2020,Trevali Mining (New Brunswick) Ltd.,Caribou Mine,BATHURST,New Brunswick,212231,75.1
2021,Trevali Mining (New Brunswick) Ltd.,Caribou Mine,Bathurst,New Brunswick,212231,58.3
2020,Atlantic Wallboard Limited Partnership,Atlantic Wallboard,SAINT JOHN,New Brunswick,327420,34.19
2021,Atlantic Wallboard Limited Partnership,Atlantic Wallboard,Saint John,New Brunswick,327420,29.52
2020,Newfoundland and Labrador Hydro,Black Tickle Diesel Generating Station,BLACK TICKLE,Newfoundland and Labrador,221112,26.42
2021,Newfoundland and Labrador Hydro,Black Tickle Diesel Generating Station,Black Tickle,Newfoundland and Labrador,221112,25.55
2020,Newfoundland and Labrador Hydro,Cartwright Diesel Generating Station,CARTWRIGHT,Newfoundland and Labrador,221112,154.44
2021,Newfoundland and Labrador Hydro,Cartwright Diesel Generating Station,Cartwright,Newfoundland and Labrador,221112,95.3
2020,Newfoundland and Labrador Hydro,Charlottetown Diesel Generating Station,CHARLOTTETOWN,Newfoundland and Labrador,221112,85.99
2021,Newfoundland and Labrador Hydro,Charlottetown Diesel Generating Station,Charlottetown,Newfoundland and Labrador,221112,90.78
2020,Newfoundland and Labrador Hydro,Hopedale Diesel Generating Station,HOPEDALE,Newfoundland and Labrador,221112,73.6
2021,Newfoundland and Labrador Hydro,Hopedale Diesel Generating Station,Hopedale,Newfoundland and Labrador,221112,71.51
2020,Newfoundland and Labrador Hydro,Makkovik Diesel Generating Station,MAKKOVIK,Newfoundland and Labrador,221112,107.87
2021,Newfoundland and Labrador Hydro,Makkovik Diesel Generating Station,Makkovik,Newfoundland and Labrador,221112,67.29
2020,Newfoundland and Labrador Hydro,Mary's Harbour Diesel Generating Station,MARY'S HARBOUR,Newfoundland and Labrador,221112,63.72
2021,Newfoundland and Labrador Hydro,Mary's Harbour Diesel Generating Station,Mary's Harbour,Newfoundland and Labrador,221112,54.94
2020,Newfoundland and Labrador Hydro,Nain Diesel Generating Station,NAIN,Newfoundland and Labrador,221112,164.27
2021,Newfoundland and Labrador Hydro,Nain Diesel Generating Station,Nain,Newfoundland and Labrador,221112,178.0
2020,Newfoundland and Labrador Hydro,Port Hope Simpson Diesel Generating Station,PORT HOPE,Newfoundland and Labrador,221112,41.42
2021,Newfoundland and Labrador Hydro,Port Hope Simpson Diesel Generating Station,Port Hope,Newfoundland and Labrador,221112,48.42
2020,Newfoundland and Labrador Hydro,Postville Diesel Generating Station,POSTVILLE,Newfoundland and Labrador,221112,22.21
2021,Newfoundland and Labrador Hydro,Postville Diesel Generating Station,Postville,Newfoundland and Labrador,221112,42.11
2020,Newfoundland and Labrador Hydro,Ramea Diesel Generating Station,RAMEA,Newfoundland and Labrador,221112,161.37
2021,Newfoundland and Labrador Hydro,Ramea Diesel Generating Station,Ramea,Newfoundland and Labrador,221112,173.48
2020,Newfoundland and Labrador Hydro,Rigolet Diesel Generating Station,RIGOLET,Newfoundland and Labrador,221112,60.56
2021,Newfoundland and Labrador Hydro,Rigolet Diesel Generating Station,Rigolet,Newfoundland and Labrador,221112,57.04
2020,Newfoundland and Labrador Hydro,St. Lewis Diesel Generating Station,ST. LEWIS,Newfoundland and Labrador,221112,43.89
2021,Newfoundland and Labrador Hydro,St. Lewis Diesel Generating Station,St. Lewis,Newfoundland and Labrador,221112,41.95
2020,Newfoundland and Labrador Hydro,Grey River Diesel Generating Station,GREY RIVER,Newfoundland and Labrador,221112,19.04
2021,Newfoundland and Labrador Hydro,Grey River Diesel Generating Station,Grey River,Newfoundland and Labrador,221112,19.73
2020,Produits forestiers Résolu,Scierie Senneterre,SENNETERRE,Quebec,321111,27.883
2021,Produits forestiers Résolu,Scierie Senneterre,Senneterre,Quebec,321111,29.42
2020,"Énergir, chaleur et climatisation urbaines S.E.C.",Énergir CCU,MONTRÉAL,Quebec,221330,53.84
2021,"Énergir, chaleur et climatisation urbaines S.E.C.",Énergir CCU,Montréal,Quebec,221330,51.858
2020,Centre hospitalier de l'Université de Montréal,Hôtel-Dieu,MONTRÉAL,Quebec,622111,2.66361
2021,Centre hospitalier de l'Université de Montréal,Hôtel-Dieu,Montréal,Quebec,622111,2.6612299999999998
2020,Institution royale pour l'avancement des sciences,Université McGill - Campus Centre-Ville,MONTREAL,Quebec,611310,44.866
2021,Institution royale pour l'avancement des sciences,Université McGill - Campus Centre-Ville,Montreal,Quebec,611310,41.616
2020,Produits forestiers Résolu,Scierie des Outardes (Baie-Comeau),BAIE-COMEAU,Quebec,321111,23.977
2021,Produits forestiers Résolu,Scierie des Outardes (Baie-Comeau),Baie-Comeau,Quebec,321111,51.215
2020,Produits forestiers Arbec Inc.,Scierie de Port-Cartier,PORT-CARTIER,Quebec,321111,30.569
2021,Produits forestiers Arbec Inc.,Scierie de Port-Cartier,Port-Cartier,Quebec,321111,26.223
2020,Sanimax Lom Inc.,Sanimax Lom Inc.,Montréal,Quebec,311614,27.37
2021,Sanimax Lom Inc.,Sanimax Lom Inc.,Montréal,Quebec,311614,28.32
2020,Sanimax ACI,Sanimax ACI,LÉVIS,Quebec,311614,52.851
2021,Sanimax ACI,Sanimax ACI,Lévis,Quebec,311614,56.233
2020,Société de Cogénération de St-Félicien,Société de Cogénération de St-Félicien,ST-FÉLICIEN,Quebec,221119,472.777
2021,Société de Cogénération de St-Félicien,Société de Cogénération de St-Félicien,St-Félicien,Quebec,221119,118.929
2020,Institution royale pour l'avancement des sciences,Université McGill - Campus Macdonald,SAINTE-ANNE-DE-BELLEVUE,Quebec,611310,2.431
2021,Institution royale pour l'avancement des sciences,Université McGill - Campus Macdonald,Sainte-Anne-de-Bellevue,Quebec,611310,2.375
2020,TransCanada Energy Ltd.,Bécancour Power Plant,BÉCANCOUR,Quebec,221112,125.09
2020,Produits forestiers Petit Paris,Petit Paris,ST-LUDGER DE-MILOT,Quebec,321111,26.793
2021,Produits forestiers Petit Paris,Petit Paris,St-Ludger de-Milot,Quebec,321111,23.381
2020,Forex Amos Inc.,Forex Amos Inc.,Amos,Quebec,321211,480.0228
2021,Forex Amos Inc.,Forex Amos Inc.,Amos,Quebec,321211,383.2749
2020,Kruger Énergie Bromptonville S.E.C.,Centrale de cogénération à la biomasse,SHERBROOKE,Quebec,221119,235.2
2021,Kruger Énergie Bromptonville S.E.C.,Centrale de cogénération à la biomasse,Sherbrooke,Quebec,221119,255.53
2020,Compagnie Selenis Canada Inc.,Selenis Canada Inc,MONTRÉAL-EST,Quebec,325210,13.9754
2021,Compagnie Selenis Canada Inc.,Selenis Canada Inc,Montréal-Est,Quebec,325210,14.43063
2020,Rio Tinto Alcan Inc,Usine Dubuc,SAGUENAY,Quebec,331313,4.06
2021,Rio Tinto Alcan Inc,Usine Dubuc,Saguenay,Quebec,331313,4.3619
2020,Les Entreprises P.E.B. Ltée.,USINE DE FABRICATION D'ASPHALTE,QUÉBEC,Quebec,324121,0.299
2020,Groupe Lebel 2004 Inc.,Lebel Vallée des Lacs,SQUATEC,Quebec,321111,3.535
2021,Groupe Lebel 2004 Inc.,Lebel Vallée des Lacs,Squatec,Quebec,321111,4.961
2020,Rio Tinto Alcan Inc,Usine de traitement de la brasque,JONQUIÈRE,Quebec,327990,2.6
2021,Rio Tinto Alcan Inc,Usine de traitement de la brasque,Jonquière,Quebec,327990,2.0
2020,Graphic Packaging International Canada ULC,Graphic Packaging International Canada ULC - East Angus,EAST ANGUS,Quebec,322130,14.15
2021,Graphic Packaging International Canada ULC,Graphic Packaging International Canada ULC - East Angus,East Angus,Quebec,322130,27.71
2020,Cascades Canada ULC,"Cascades Papier Kingsey Falls, une division de Cascades Canada ULC",KINGSEY FALLS,Quebec,322130,29.19
2021,Cascades Canada ULC,"Cascades Papier Kingsey Falls, une division de Cascades Canada ULC",Kingsey Falls,Quebec,322130,83.64
2020,"Lidya Énergie, s.e.c.","Lidya Énergie, s.e.c.",LACHUTE,Quebec,221119,41.9206
2021,"Lidya Énergie, s.e.c.","Lidya Énergie, s.e.c.",Lachute,Quebec,221119,43.92104
2020,Ressources Bonterra inc.,Mine Bachelor,DESMARAISVILLE,Quebec,212220,4.9331
2021,Ressources Bonterra inc.,Mine Bachelor,Desmaraisville,Quebec,212220,2.965249
2020,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Mine de Fire Lake,MONT-WRIGHT,Quebec,212210,117.335
2021,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Mine de Fire Lake,Mont-Wright,Quebec,212210,112.586
2020,MINERAI DE FER QUÉBEC INC.,Mine du Lac Bloom,FERMONT,Quebec,212210,76.53
2021,MINERAI DE FER QUÉBEC INC.,Mine du Lac Bloom,Fermont,Quebec,212210,144.79
2020,Ressources Bonterra inc.,Mine Barry,LEBEL-SUR-QUÉVILLON,Quebec,212220,30.1069
2021,Ressources Bonterra inc.,Mine Barry,Lebel-sur-Quévillon,Quebec,212220,28.794
2020,Goldcorp Canada Ltd,Mine Éléonore,ROUYN-NORANDA,Quebec,212220,103.563
2021,Goldcorp Canada Ltd,Mine Éléonore,Rouyn-Noranda,Quebec,212220,108.619
2020,Silicium Québec SEC,Quebec Silicon LP,BÉCANCOUR,Quebec,331110,597.384
2021,Silicium Québec SEC,Quebec Silicon LP,Bécancour,Quebec,331110,813.244
2020,Lafarge Canada Inc. - EAST,Stouffville AGG Site,STOUFFVILLE,Ontario,212323,22.61
2020,Lafarge Canada Inc. - EAST,Manitoulin Quarry,MELDRUM BAY,Ontario,212315,156.34
2021,Lafarge Canada Inc. - EAST,Manitoulin Quarry,Meldrum Bay,Ontario,212315,197.08
2020,Pioneer Construction Inc.,Kenora HMA Plant,KENORA,Ontario,324121,26.3042
2020,Highbury Canco Corporation,Highbury Canco Corporation,LEAMINGTON,Ontario,311420,117.0
2021,Highbury Canco Corporation,Highbury Canco Corporation,Leamington,Ontario,311420,106.0
2020,Enbridge Gas Inc.,Tecumseh ( Corunna) Gas Storage,MOORE TOWNSHIP,Ontario,486210,56.9
2021,Enbridge Gas Inc.,Tecumseh ( Corunna) Gas Storage,Moore Township,Ontario,486210,60.0
2020,Eacom Timber Corporation,EACOM Elk Lake Sawmill,ELK LAKE,Ontario,321111,40.8952
2021,Eacom Timber Corporation,EACOM Elk Lake Sawmill,Elk Lake,Ontario,321111,38.1927
2020,"CertainTeed Gypsum Canada, Inc.",Toronto Board Plant,MISSISSAUGA,Ontario,327420,25.7916
2021,"CertainTeed Canada, Inc.",Toronto Board Plant,Mississauga,Ontario,327420,26.7538
2021,NELSON AGGREGATE,Waynco Stuehler Pit,North Dumfries,Ontario,212323,29.6596
2020,Walker Environmental Group Inc. - Landfill Sites,Walker Environmental Group Inc. Landfill Sites,Niagara Falls,Ontario,562210,44.054
2021,Walker Environmental Group Inc. - Landfill Sites,Walker Environmental Group Inc. Landfill Sites,Niagara Falls,Ontario,562210,35.139
2020,Carmeuse Lime Canada,Northern Lime Limited,BLIND RIVER,Ontario,327410,336.2
2021,Carmeuse Lime Canada Limited,Northern Lime Limited,Blind River,Ontario,327410,449.681
2020,Carmeuse Lime Canada,Dundas Operations,DUNDAS,Ontario,327410,1102.021
2021,Carmeuse Lime Canada Limited,Dundas Operations,Dundas,Ontario,327410,697.093
2020,Carmeuse Lime Canada,Beachville Operation,INGERSOLL,Ontario,327410,638.82
2021,Carmeuse Lime Canada Limited,Beachville Operation,Ingersoll,Ontario,327410,756.412
2020,Enbridge Gas Inc.,UG - Parkway (East) Compressor Station,MISSISSAUGA,Ontario,486210,28.0
2021,Enbridge Gas Inc.,UG - Parkway (East) Compressor Station,Mississauga,Ontario,486210,50.0
2020,Enbridge Gas Inc.,UG - Lobo Compressor Station,ILDERTON,Ontario,486210,47.0
2021,Enbridge Gas Inc.,UG - Lobo Compressor Station,Ilderton,Ontario,486210,90.0
2020,Enbridge Gas Inc.,UG - Bright Compressor Station,BLANDFORD-BLENHEIM,Ontario,486210,30.0
2021,Enbridge Gas Inc.,UG - Bright Compressor Station,Blandford-Blenheim,Ontario,486210,43.0
2020,Enbridge Gas Inc.,UG - Dawn Operations,DRESDEN,Ontario,486210,179.0
2021,Enbridge Gas Inc.,UG - Dawn Operations,Dresden,Ontario,486210,217.0
2020,The Corporation of the City of Kingston,Ravensview Wastewater Treatment,KINGSTON,Ontario,221320,2.18
2021,The Corporation of the City of Kingston,Ravensview Wastewater Treatment,Kingston,Ontario,221320,2.9219999999999997
2020,Glencore Canada Corporation,Kidd Mine Site,TIMMINS,Ontario,212233,232.817
2021,Glencore Canada Corporation,Kidd Mine Site,Timmins,Ontario,212233,192.913
2020,Public Works and Government Services Canada,Tunney's Pasture Central Heating and Cooling Plant,OTTAWA,Ontario,911910,11.0
2021,Public Works and Government Services Canada,Tunney's Pasture Central Heating and Cooling Plant,Ottawa,Ontario,911910,11.0
2020,Public Works and Government Services Canada,Cliff Central Heating and Cooling Plant,OTTAWA,Ontario,911910,28.0
2021,Public Works and Government Services Canada,Cliff Central Heating and Cooling Plant,Ottawa,Ontario,911910,27.0
2020,Sonoco Canada Corporation,Sonoco Brantford,BRANTFORD,Ontario,322130,46.92043
2021,Sonoco Canada Corporation,Sonoco Brantford,Brantford,Ontario,322130,57.59042
2020,Vale Canada Limited,Coleman Mine,LEVACK,Ontario,212232,67.56
2021,Vale Canada Limited,Coleman Mine,Levack,Ontario,212232,52.05
2020,Vale Canada Limited,Creighton Mine,LIVELY,Ontario,212232,94.92
2021,Vale Canada Limited,Creighton Mine,Lively,Ontario,212232,57.12
2020,Vale Canada Limited,Garson Mine,GARSON,Ontario,212232,56.51
2021,Vale Canada Limited,Garson Mine,Garson,Ontario,212232,46.41
2020,Vale Canada Limited,Copper Cliff Mine (North),COPPER CLIFF,Ontario,212232,108.15
2021,Vale Canada Limited,Copper Cliff Mine (North),Copper Cliff,Ontario,212232,76.37
2020,Vale Canada Limited,Copper Cliff Mine (South),COPPER CLIFF,Ontario,212232,68.96
2021,Vale Canada Limited,Copper Cliff Mine (South),Copper Cliff,Ontario,212232,66.29
2020,Vale Canada Limited,Frood-Stobie Mine,SUDBURY,Ontario,212232,6.65
2021,Vale Canada Limited,Frood-Stobie Mine,Sudbury,Ontario,212232,4.35
2020,Stericycle ULC,Stericycle ULC ,BRAMPTON,Ontario,562210,12.0
2021,Stericycle ULC,Stericycle ULC ,Brampton,Ontario,562210,10.0
2020,National Silicates Partnership,Toronto,TORONTO,Ontario,325189,5.2154
2021,National Silicates Partnership,Toronto,Toronto,Ontario,325189,2.5667999999999997
2020,National Silicates Partnership,Valleyfield,SALABERRY DE VALLEYFIELD,Quebec,325189,11.89
2021,National Silicates Partnership,Valleyfield,Salaberry de Valleyfield,Quebec,325189,14.994
2020,Jungbunzlauer Canada Inc.,Jungbunzlauer Canada Inc.,PORT COLBORNE,Ontario,325190,243.907
2021,Jungbunzlauer Canada Inc.,Jungbunzlauer Canada Inc.,Port Colborne,Ontario,325190,254.462
2020,Ardent Mills ULC,Montreal Flour plant,MONTRÉAL,Quebec,311211,0.45199999999999996
2020,Hydro One Remote Communities Inc.,Armstrong Diesel Generating Station,ARMSTRONG,Ontario,221112,68.806
2021,Hydro One Remote Communities Inc.,Armstrong Diesel Generating Station,Armstrong,Ontario,221112,68.404
2020,Hydro One Remote Communities Inc.,Bearskin Diesel Generating Station,BEARSKIN LAKE,Ontario,221112,51.816
2021,Hydro One Remote Communities Inc.,Bearskin Diesel Generating Station,Bearskin Lake,Ontario,221112,49.636
2020,Hydro One Remote Communities Inc.,Big Trout Diesel Generating Station,BIG TROUT LAKE,Ontario,221112,97.057
2021,Hydro One Remote Communities Inc.,Big Trout Diesel Generating Station,Big Trout Lake,Ontario,221112,93.165
2020,Hydro One Remote Communities Inc.,Deer Lake Diesel Generating Station,DEER LAKE,Ontario,221112,65.01
2021,Hydro One Remote Communities Inc.,Deer Lake Diesel Generating Station,Deer Lake,Ontario,221112,70.558
2020,Hydro One Remote Communities Inc.,Fort Severn Diesel Generating Station,FORT SEVERN,Ontario,221112,45.696
2021,Hydro One Remote Communities Inc.,Fort Severn Diesel Generating Station,Fort Severn,Ontario,221112,45.508
2020,Hydro One Remote Communities Inc.,Gull Bay Diesel Generating Station,GULL BAY,Ontario,221112,20.782
2021,Hydro One Remote Communities Inc.,Gull Bay Diesel Generating Station,Gull Bay,Ontario,221112,21.299
2020,Hydro One Remote Communities Inc.,Kasabonika Diesel Generating Station,KASABONIKA LAKE,Ontario,221112,83.905
2021,Hydro One Remote Communities Inc.,Kasabonika Diesel Generating Station,Kasabonika Lake,Ontario,221112,81.398
